file,raw_hrr,scaled_linear,affine_linear,cychrr_t,dataset,target,scenario,ID
A251.xlsx,0.038213180008845674,0.02469745436296032,0.027911902544424907,0.025398338131128524,Graded-test temporal holdout,vo2r,all observations,
A274.xlsx,0.07394314617585222,0.09975007204956515,0.0925645146196174,0.10099497772685861,Graded-test temporal holdout,vo2r,all observations,
A275.xlsx,0.06045435986321114,0.08642762830902109,0.07877072962666559,0.08809341073207574,Graded-test temporal holdout,vo2r,all observations,
A294.xlsx,0.08422315202231524,0.054110494670768415,0.059092832345993614,0.054089345875743204,Graded-test temporal holdout,vo2r,all observations,
A295.xlsx,0.11169967576858472,0.08042300804499734,0.08361545822266511,0.08073278916669517,Graded-test temporal holdout,vo2r,all observations,
A3000.xlsx,0.0430469138674058,0.029966316808522502,0.020249967748538236,0.03211110565393328,Graded-test temporal holdout,vo2r,all observations,
A3001.xlsx,0.07667004048583001,0.08558910355620943,0.07817700338474351,0.08921707306581109,Graded-test temporal holdout,vo2r,all observations,
A3002.xlsx,0.0843979868370113,0.05648291744753545,0.054951475836575926,0.05824376198309319,Graded-test temporal holdout,vo2r,all observations,
A3003.xlsx,0.03603896103896106,0.01497992789305959,0.01950659681054297,0.01958114710548898,Graded-test temporal holdout,vo2r,all observations,
A3005.xlsx,0.6667610736193549,0.634740564780146,0.637016923108415,0.6351628329335887,Graded-test temporal holdout,vo2r,all observations,
A3008.xlsx,0.02244580404776019,0.041523908041167526,0.035718678932168735,0.04536850146999886,Graded-test temporal holdout,vo2r,all observations,
A3009.xlsx,0.025166548756042923,0.04055067663083274,0.0344851993791984,0.047360019139545746,Graded-test temporal holdout,vo2r,all observations,
A3010.xlsx,0.011064030131826672,0.03686748379190458,0.03360249240444279,0.039619683554125776,Graded-test temporal holdout,vo2r,all observations,
A3011.xlsx,0.020213678032051676,0.010980023986376026,0.010900704609903524,0.01652211812136663,Graded-test temporal holdout,vo2r,all observations,
A3012.xlsx,0.060142381012146286,0.024707715013468284,0.025177087591129372,0.02661163019336016,Graded-test temporal holdout,vo2r,all observations,
A3013.xlsx,0.053168044077135,0.030790266035707895,0.034715465916463344,0.025449197099506323,Graded-test temporal holdout,vo2r,all observations,
A3014.xlsx,0.020463354903582604,0.023020881843629354,0.0202763250277631,0.02594908297284516,Graded-test temporal holdout,vo2r,all observations,
A3018.xlsx,0.06227106227106223,0.04058959722963247,0.040720560524365894,0.036954790973294495,Graded-test temporal holdout,vo2r,all observations,
A3019.xlsx,0.06915652339292512,0.04411929397187858,0.04421747292929694,0.0470981884107279,Graded-test temporal holdout,vo2r,all observations,
A3020.xlsx,0.010974588496914135,0.027119970451704792,0.020242624784714707,0.031544153720344574,Graded-test temporal holdout,vo2r,all observations,
A3022.xlsx,0.07058238918704035,0.05769505490313617,0.047870652674347945,0.06374771606076877,Graded-test temporal holdout,vo2r,all observations,
A3023.xlsx,0.050361364403917586,0.037695861705495826,0.039194861352829805,0.029821006416751093,Graded-test temporal holdout,vo2r,all observations,
A3024.xlsx,0.10122165914711934,0.07204800784528873,0.06882712096188165,0.07386961119665869,Graded-test temporal holdout,vo2r,all observations,
A3027.xlsx,0.05050971538040507,0.033429518373940294,0.03750972144605051,0.028102535853853715,Graded-test temporal holdout,vo2r,all observations,
A3031.xlsx,0.0760103383458646,0.04721218213933584,0.05117238101141608,0.046360966532008406,Graded-test temporal holdout,vo2r,all observations,
A3032.xlsx,0.046473311933642035,0.06220360028188077,0.05828419457627718,0.06923177038252463,Graded-test temporal holdout,vo2r,all observations,
A3036.xlsx,0.04836601307189539,0.02522970715566834,0.03366594336791209,0.02012718229748785,Graded-test temporal holdout,vo2r,all observations,
